Deck1,Deck2,Deck1_damage,Deck2_damage,rand. prices for AI,Bid,Stake
0.020076636370082817,0.02984122956122153,1,4,0.020847308424702376,0.028028068911579516,0.02745542990791757
0.01845905210835525,0.039690542489140765,0,5,0.02601783574098689,0.059610859033052604,0.03095537544788149
0.016617356406149544,0.027194781886049634,2,4,0.03431692025431621,0.028629911956712474,0.028011244483347904
0.02467434693198689,0.038168954214187506,2,5,0.02965583548200918,0.020449287102328503,0.025051346718165692
0.015744080676520715,0.031601417383092,1,6,0.032601515923940116,0.044739902649388076,0.029583034761241286
0.020245999852883247,0.03274334372278947,1,3,0.015303503419326,0.057427789832022486,0.028460905054314277
0.015945598341412463,0.03781503848157668,0,4,0.03614735828674324,0.020893011793951595,0.027942158333326115
0.022376401461492685,0.037679205157509436,2,3,0.02808572109895252,0.04637213612661501,0.030733323436695346
0.017782539568858693,0.03145379055780295,2,5,0.02819751746613028,0.032499911280858496,0.02754717426329564
0.024853197825186787,0.03690425006391818,0,5,0.02228865543593985,0.04838861554129495,0.025405931861404607
0.018837215917525584,0.03323204613221989,2,6,0.018073476746528785,0.046690178482847663,0.03032747158137815
0.015178141302820069,0.02666434858145044,1,5,0.016997048032206828,0.020649748416033703,0.026231490789118225
0.01816568372671142,0.02962872223549433,1,4,0.024196057610326803,0.024618650364627563,0.030413689309871678
0.015524583914918245,0.037996148676759454,1,5,0.03191010996300225,0.02935299339465645,0.027291307806302637
0.022658894350110287,0.02619859955850527,1,5,0.03703726016008703,0.057267853493398045,0.026979584610805185
0.022822842086139147,0.03859883066005962,1,3,0.025214003666012945,0.025031144734846023,0.0258077346901553
0.023944463472037415,0.030079804034472933,0,5,0.038065765458762245,0.036569107366718936,0.027590400307311535
0.017538430904515363,0.03180445734529822,2,3,0.03380868016194885,0.01530254774286812,0.03193893294700383
0.019333974718344582,0.03608669210608042,2,6,0.03697811593405105,0.03146115314338009,0.027195295966763334
0.0236555457048864,0.027946952317970546,2,5,0.039936806427162,0.05103712033943793,0.02681718126862941
0.01984778955050991,0.03905599013397186,1,5,0.022661072403422623,0.0462258363916717,0.029427721027564458
0.024059065709867218,0.030505924792221122,1,5,0.0374294641771568,0.04477707174341823,0.03122305847284541
0.02258593872448681,0.03081568265406321,1,6,0.029262180870361428,0.03346364558761181,0.027058614141719693
0.01747762374005217,0.033416427654144924,2,4,0.01789003775816741,0.04407869035656587,0.02637228747223672
0.021060033939317824,0.03187517167376125,2,4,0.02296550733796688,0.04866219963738333,0.03169726324338394
0.02012113462119488,0.03868992877807997,0,6,0.029363906619446933,0.01922106185529844,0.03069167485741209
0.01759858222003363,0.030005849711493962,1,4,0.023575730790688827,0.05646260635260803,0.029087180129186496
0.015765723599846408,0.026967591673032226,1,5,0.016814596632532264,0.05009908707555831,0.028418715988546325
0.021694232266863244,0.02701493603182622,0,6,0.038699630788565795,0.02653041229935005,0.02620992739353659
0.022094280986794314,0.030915863113687093,1,6,0.030552991475325954,0.02941650864609508,0.027593213928371874
0.020929660628999022,0.03305145933386335,2,5,0.03313072657308413,0.03306666124210521,0.029522258403026688
0.024983350330439847,0.03540323083273428,2,3,0.0278108705336889,0.05488679280236154,0.025035621311239844
0.01655734018166106,0.03856943955643194,2,4,0.02150009599622569,0.057426616242924895,0.026098718401305076
0.022005594570080472,0.03519476080751523,2,5,0.02183908723149488,0.050018608889935055,0.029001387301215074
0.024560289802946902,0.0318355747415793,0,3,0.03240915078187501,0.049586397215748056,0.025133716991589936
0.018784140500720865,0.03334899446806339,1,3,0.022503584911703737,0.05853878837962634,0.025437612509923973
0.015084302623875926,0.039378598054983414,2,5,0.026902539869030302,0.03322458775285197,0.02917903207602595
0.01974947089210974,0.026234952568313357,0,3,0.01899460387657813,0.028106580571184765,0.03024275429349716
0.02285224788443218,0.029656735317868454,0,5,0.015271004366692282,0.05850820180566254,0.031146086984057537
0.017891188093209134,0.033842409263621344,1,5,0.037942894409532676,0.03777802230798952,0.025382664822095623
0.015097817640031756,0.03553156815067686,1,4,0.023697479219988722,0.04383908087086872,0.02736524233349279
0.01944423660098064,0.031592641484170306,0,6,0.015337598998660096,0.03407490056087279,0.02991136923202449
0.023595489446531094,0.029926562788609327,1,3,0.0196090298848314,0.05631136000999794,0.03180817144626661
0.023586398026065828,0.0349110693779777,1,4,0.0381347431272714,0.05258526174316459,0.029367269039274835
0.01675704211271103,0.03890797422108611,1,4,0.015452338631178614,0.03871421139018001,0.030155806629277377
